Date,Close,High,Low,Open,Volume
1994-11-17,2.546,2.584,2.531,2.568,6060000
1994-11-18,2.553,2.568,2.531,2.553,8690000
1994-11-21,2.599,2.599,2.576,2.576,5040000
1994-11-22,2.576,2.576,2.546,2.568,4760000
1994-11-23,2.553,2.553,2.531,2.538,7860000
1994-11-24,2.568,2.576,2.553,2.568,4780000
1994-11-25,2.568,2.576,2.553,2.561,4099999
1994-11-28,2.568,2.599,2.553,2.584,5530000
1994-11-29,2.538,2.561,2.531,2.561,7650000
1994-11-30,2.546,2.561,2.538,2.553,5480000
1994-12-01,2.531,2.546,2.523,2.546,5950000
1994-12-02,2.523,2.546,2.523,2.523,8570000
1994-12-05,2.576,2.584,2.553,2.553,11130000
1994-12-07,2.576,2.614,2.561,2.576,5220000
1994-12-09,2.568,2.591,2.546,2.576,7100000
1994-12-12,2.546,2.576,2.531,2.568,5530000
1994-12-13,2.546,2.561,2.523,2.538,8369999
1994-12-14,2.531,2.568,2.531,2.561,8800000
1994-12-15,2.47,2.523,2.462,2.515,12290000
1994-12-16,2.493,2.515,2.477,2.477,6970000
1994-12-19,2.44,2.515,2.44,2.508,5210000
1994-12-20,2.432,2.447,2.424,2.432,8410000
1994-12-21,2.402,2.424,2.387,2.417,7570000
1994-12-22,2.341,2.417,2.326,2.409,9200000
1994-12-23,2.371,2.371,2.326,2.349,6830000
1994-12-27,2.258,2.379,2.227,2.364,8090000
1994-12-28,2.288,2.311,2.197,2.28,10610000
1994-12-29,2.296,2.326,2.235,2.243,15370000
1994-12-30,2.356,2.379,2.326,2.326,8780000
1995-01-02,2.387,2.394,2.334,2.349,3220000
1995-01-03,2.417,2.424,2.394,2.409,7150000
1995-01-04,2.44,2.455,2.424,2.424,6720000
1995-01-05,2.44,2.447,2.409,2.417,20960000
1995-01-09,2.402,2.44,2.371,2.44,13290000
1995-01-10,2.371,2.387,2.349,2.349,18280000
1995-01-11,2.28,2.349,2.273,2.349,23250000
1995-01-12,2.273,2.296,2.258,2.296,17980000
1995-01-13,2.258,2.28,2.227,2.265,19390000
1995-01-16,2.303,2.303,2.265,2.273,12460000
1995-01-17,2.334,2.341,2.296,2.303,14150000
1995-01-18,2.371,2.379,2.318,2.326,11880000
1995-01-19,2.394,2.409,2.379,2.379,14670000
1995-01-20,2.402,2.417,2.371,2.379,18060000
1995-01-23,2.371,2.394,2.371,2.387,11380000
1995-01-24,2.394,2.417,2.379,2.387,10760000
1995-01-25,2.402,2.424,2.379,2.417,9350000
1995-01-26,2.455,2.47,2.424,2.432,13960000
1995-01-27,2.462,2.485,2.455,2.462,9550000
1995-01-30,2.47,2.477,2.44,2.447,6900000
1995-01-31,2.47,2.47,2.447,2.455,6330000
1995-02-01,2.538,2.546,2.485,2.485,7480000
1995-02-02,2.553,2.576,2.531,2.538,13860000
1995-02-03,2.576,2.599,2.546,2.584,18320000
1995-02-06,2.546,2.606,2.538,2.606,12500000
1995-02-07,2.515,2.546,2.485,2.546,17020000
1995-02-08,2.493,2.508,2.485,2.493,10960000
1995-02-09,2.5,2.523,2.5,2.5,38820000
1995-02-10,2.493,2.508,2.477,2.508,12110000
1995-02-13,2.47,2.477,2.447,2.477,6450000
1995-02-14,2.5,2.508,2.485,2.485,9030000
1995-02-15,2.493,2.508,2.485,2.5,7250000
1995-02-16,2.47,2.485,2.455,2.477,44610000
1995-02-17,2.447,2.447,2.409,2.417,44510000
1995-02-20,2.424,2.432,2.417,2.424,5600000
1995-02-21,2.432,2.447,2.424,2.432,7990000
1995-02-22,2.424,2.424,2.402,2.417,8390000
1995-02-23,2.424,2.447,2.409,2.44,11480000
1995-02-24,2.409,2.424,2.402,2.417,5960000
1995-02-27,2.387,2.402,2.371,2.387,12840000
1995-02-28,2.417,2.417,2.379,2.387,8369999
1995-03-01,2.447,2.47,2.417,2.424,10600000
1995-03-02,2.485,2.493,2.417,2.432,18710000
1995-03-03,2.44,2.477,2.432,2.455,10130000
1995-03-06,2.417,2.44,2.409,2.424,16820000
1995-03-07,2.371,2.417,2.349,2.417,16040000
1995-03-08,2.28,2.349,2.265,2.334,25890000
1995-03-09,2.28,2.303,2.258,2.303,15550000
1995-03-10,2.311,2.311,2.25,2.273,12010000
1995-03-13,2.311,2.326,2.296,2.296,16610000
1995-03-14,2.364,2.364,2.311,2.326,34220000
1995-03-15,2.334,2.379,2.334,2.379,14700000
1995-03-16,2.356,2.364,2.311,2.334,11030000
1995-03-17,2.371,2.387,2.356,2.364,13520000
1995-03-20,2.364,2.364,2.349,2.371,1060000000
1995-03-21,2.379,2.394,2.364,2.371,6280000
1995-03-22,2.387,2.417,2.379,2.387,11960000
1995-03-23,2.371,2.387,2.341,2.379,9710000
1995-03-24,2.371,2.387,2.356,2.364,12200000
1995-03-27,2.409,2.424,2.394,2.394,9730000
1995-03-28,2.379,2.402,2.379,2.394,7750000
1995-03-29,2.349,2.371,2.334,2.349,8710000
1995-03-30,2.417,2.432,2.334,2.341,12090000
1995-03-31,2.432,2.432,2.387,2.387,10530000
1995-04-03,2.417,2.417,2.394,2.409,3740000
1995-04-04,2.455,2.462,2.432,2.44,10140000
1995-04-05,2.462,2.47,2.44,2.447,6720000
1995-04-06,2.44,2.462,2.44,2.462,7030000
1995-04-07,2.424,2.455,2.417,2.44,6630000
1995-04-10,2.417,2.424,2.402,2.424,3120000
1995-04-11,2.394,2.432,2.394,2.424,4220000
1995-04-12,2.356,2.394,2.356,2.394,4170000
1995-04-17,2.379,2.394,2.356,2.364,2000000
1995-04-18,2.349,2.364,2.334,2.356,4019999
1995-04-19,2.334,2.349,2.318,2.326,4130000
1995-04-20,2.311,2.356,2.296,2.341,6100000
1995-04-21,2.311,2.334,2.28,2.326,9890000
1995-04-24,2.311,2.311,2.296,2.303,3680000
1995-04-25,2.296,2.326,2.288,2.326,6370000
1995-04-26,2.265,2.288,2.25,2.288,14430000
1995-04-27,2.28,2.288,2.243,2.243,12850000
1995-04-28,2.28,2.303,2.265,2.296,11870000
1995-05-02,2.296,2.303,2.28,2.288,1090000
1995-05-03,2.341,2.341,2.303,2.311,12010000
1995-05-04,2.394,2.417,2.364,2.364,13430000
1995-05-05,2.455,2.455,2.387,2.394,11620000
1995-05-08,2.531,2.553,2.485,2.485,9070000
1995-05-09,2.531,2.553,2.508,2.538,17650000
1995-05-10,2.515,2.576,2.515,2.546,17140000
1995-05-11,2.493,2.546,2.485,2.523,13010000
1995-05-12,2.455,2.508,2.455,2.485,8650000
1995-05-15,2.477,2.477,2.455,2.455,814410000
1995-05-16,2.47,2.5,2.455,2.485,6130000
1995-05-17,2.47,2.47,2.447,2.462,6540000
1995-05-18,2.47,2.485,2.455,2.477,4750000
1995-05-19,2.447,2.462,2.424,2.447,13780000
1995-05-22,2.493,2.493,2.455,2.462,8390000
1995-05-23,2.5,2.523,2.477,2.508,14000000
1995-05-24,2.493,2.531,2.493,2.523,13990000
1995-05-25,2.447,2.508,2.447,2.5,11560000
1995-05-26,2.44,2.455,2.432,2.44,5970000
1995-05-29,2.44,2.447,2.424,2.44,2320000
1995-05-30,2.447,2.47,2.432,2.447,9550000
1995-05-31,2.44,2.455,2.424,2.44,4520000
1995-06-01,2.462,2.485,2.447,2.47,6680000
1995-06-02,2.462,2.47,2.44,2.47,6210000
1995-06-05,2.455,2.477,2.447,2.455,4040000
1995-06-06,2.455,2.47,2.447,2.47,4150000
1995-06-07,2.447,2.462,2.44,2.447,4530000
1995-06-08,2.47,2.47,2.432,2.432,5150000
1995-06-09,2.44,2.477,2.44,2.462,5200000
1995-06-12,2.432,2.455,2.417,2.432,6860000
1995-06-13,2.462,2.462,2.432,2.447,3810000
1995-06-14,2.462,2.47,2.447,2.47,8960000
1995-06-15,2.447,2.462,2.44,2.455,3660000
1995-06-16,2.44,2.447,2.424,2.432,8950000
1995-06-19,2.417,2.44,2.402,2.44,6930000
1995-06-20,2.356,2.409,2.341,2.409,12900000
1995-06-21,2.356,2.356,2.311,2.341,6410000
1995-06-22,2.394,2.394,2.326,2.334,8460000
1995-06-23,2.409,2.409,2.379,2.387,7340000
1995-06-26,2.394,2.409,2.379,2.379,4530000
1995-06-27,2.364,2.402,2.364,2.394,5610000
1995-06-28,2.371,2.379,2.356,2.356,4410000
1995-06-29,2.379,2.387,2.364,2.371,3230000
1995-06-30,2.364,2.379,2.349,2.364,4110000
1995-07-03,2.387,2.387,2.364,2.364,1740000
1995-07-04,2.409,2.409,2.387,2.402,5480000
1995-07-05,2.394,2.409,2.387,2.409,2300000
